,risk gene,clearance gene,correlation,t
12830358,METTL16,UBXN7,0.796598684252389,355
10943904,NPR3,CKS2,0.796598856603608,403
12830359,USP12,UBXN7,0.79659947484588,447
12830360,OTUD5,UBXN7,0.796600085982443,313
4595016,EPM2A,IFITM1,0.796600161532481,479
952348,RIOK2,DRAM2,0.796601085437964,437
4595017,SBNO1,IFITM1,0.796601142984184,420
12830361,RGMA,UBXN7,0.796601191081266,366
4595018,TSPAN17,IFITM1,0.796601436421198,409
12674339,VRK2,SMAD6,0.796601968290564,389
4595019,PGPEP1,IFITM1,0.796601992696583,441
4595020,SRGAP3,IFITM1,0.796602393225887,389
10943905,MPP2,CKS2,0.796602769780869,416
12908495,ZNF630,MED7,0.796603156003252,336
17071678,LRRC56,KEAP1,0.796603465236295,260
10943906,NEURL4,CKS2,0.79660359894592,390
17071679,SLC26A8,KEAP1,0.796603880675987,282
4595021,CREBZF,IFITM1,0.796603922027685,487
10943907,RPUSD3,CKS2,0.796604044864312,387
17071680,LARS2,KEAP1,0.796604179251626,296
12674340,RPL23AP32,SMAD6,0.796604301971068,357
10943908,NUDT9P1,CKS2,0.796604376136093,369
4595022,COL5A1,IFITM1,0.796605003457248,416
10943909,ZMAT3,CKS2,0.796605306529798,423
16004923,SARDH,RNF216,0.796605361656141,434
16004924,ARL6IP4,RNF216,0.796605697484514,465
12830362,TGFBRAP1,UBXN7,0.796606235126067,343
7626463,POMT1,NEU4,0.79660633050696,316
4595023,SUMF2,IFITM1,0.796606339703426,499
4595024,CADPS2,IFITM1,0.796606408494869,452
17071681,ASCC1,KEAP1,0.796606628612553,291
12908496,MKRN2,MED7,0.796606687171073,329
12674341,RPS21,SMAD6,0.79660672088853,309
12830363,FAM131B,UBXN7,0.796606881739928,348
12830364,IL1B,UBXN7,0.79660705883337,357
17071682,FANCB,KEAP1,0.796607539150271,334
4595025,FBXO27,IFITM1,0.796607585435544,367
4595026,ZNF148,IFITM1,0.796607679320277,429
12674342,GRHPR,SMAD6,0.796608095429535,380
12908497,BTF3P11,MED7,0.796608337566367,346
4595027,OTUD3,IFITM1,0.796608687771755,405
12830365,AP2M1,UBXN7,0.796609550020076,323
12674343,SNAPIN,SMAD6,0.796609554349555,364
16004925,DLX2,RNF216,0.796609824685837,467
12674344,MAGI1,SMAD6,0.796610759126859,370
4595028,RTN4,IFITM1,0.796611305794331,348
12830366,DDOST,UBXN7,0.796611421812918,361
17071683,GLRX5,KEAP1,0.796611615109378,350
10943910,FBRSL1,CKS2,0.796612035643774,388
4595029,MTDH,IFITM1,0.796612173408551,410
12674345,FKBP10,SMAD6,0.796612216759416,291
2630630,BZW1,PLA2G5,0.796612689467468,416
17071684,RAB33A,KEAP1,0.796612717721977,296
2630631,NBEAL2,PLA2G5,0.796612749105656,410
2630632,C20orf194,PLA2G5,0.796613463163607,411
10943911,LOC100128361,CKS2,0.796614166514696,479
4595030,HECW1,IFITM1,0.796614308976073,401
12908498,CHRNA3,MED7,0.796614378601239,271
2630633,TNNC1,PLA2G5,0.796614566878822,404
12908499,RPS10,MED7,0.79661468507266,287
17071685,DIP2B,KEAP1,0.796615804644856,364
12830367,DTX2P1_UPK3BP1_PMS2P11,UBXN7,0.796615931172446,354
12674346,SLC25A24,SMAD6,0.796616221269642,356
7626464,PTPN2,NEU4,0.796616596659271,319
12908500,NPY5R,MED7,0.796617110768054,273
952349,ALKBH7,DRAM2,0.796617923497844,398
17071686,COX18,KEAP1,0.796618134000071,300
12908501,DEXI,MED7,0.796619769361485,331
12908502,MYH7,MED7,0.7966202610775,266
17071687,BMS1,KEAP1,0.796620687558034,357
17071688,STX4,KEAP1,0.796620866807037,287
4595031,RBM5,IFITM1,0.796621018678873,361
12830368,GDE1,UBXN7,0.796621131083682,420
2630634,ARL6IP1,PLA2G5,0.796621549590234,401
4595032,ZNF563,IFITM1,0.796621782015796,429
12830369,AKR7A2P1,UBXN7,0.796621783493731,312
7626465,LOC731157,NEU4,0.796622324463583,276
12908503,GIMAP7,MED7,0.796622551295714,347
4595033,ARL4A,IFITM1,0.796622690524928,321
10943912,PIK3CD,CKS2,0.796623161609475,423
17071689,THAP1,KEAP1,0.796623422973161,352
4595034,PRPF19,IFITM1,0.796624252789619,369
12830370,PDHB,UBXN7,0.796624333425025,372
4595035,C1RL,IFITM1,0.796624478373634,519
17071690,PMF1,KEAP1,0.79662453515562,298
12674347,SAT1,SMAD6,0.796624725462126,374
4595036,NEFL,IFITM1,0.796624738938095,451
4595037,IL1RAPL1,IFITM1,0.796626186511104,402
12908504,ATF7,MED7,0.796626214590286,314
12830371,TUBG2,UBXN7,0.796626463701618,364
4595038,JAG2,IFITM1,0.796627173106835,356
10943913,LOC728739,CKS2,0.796627192774606,411
17071691,ANKRD6,KEAP1,0.796628806573454,260
12830372,CPSF1,UBXN7,0.79662889935634,354
12830373,STAMBPL1,UBXN7,0.796629103496515,329
2630635,ACTG1P4,PLA2G5,0.796629106645263,382
2019119,POMC,NKG7,0.796629516696451,270
12830374,CALM1,UBXN7,0.796629571345862,354
7626466,TCF4,NEU4,0.796629583834835,255
17071692,TATDN1,KEAP1,0.796629729958801,321
7626467,ARMC1,NEU4,0.79662997793512,259
4595039,PCDHB9,IFITM1,0.796630419369567,456
4595040,RCSD1,IFITM1,0.796631168811461,411
12830375,TPX2,UBXN7,0.796631494165249,341
4595041,ZBTB6,IFITM1,0.796631531431004,440
10943914,ZNF215,CKS2,0.796631624600171,376
12830376,ZFYVE21,UBXN7,0.796631975574693,389
4595042,MAPK8IP2,IFITM1,0.796632289872387,404
12830377,ASPHD1,UBXN7,0.796632553692138,343
12674348,ZBTB41,SMAD6,0.796633132557719,342
10943915,HSPB11,CKS2,0.796633210847216,378
12830378,FAM162B,UBXN7,0.796633340193539,344
4595043,TMLHE,IFITM1,0.79663447525716,474
12830379,LYRM7,UBXN7,0.796635452384566,357
12908505,SPTLC2,MED7,0.796635939121688,317
7860666,RASIP1,PRDX5,0.79663611450109,431
12908506,ASTN2,MED7,0.796636720774967,348
17071693,COX6C,KEAP1,0.796636935873815,341
4595044,ELL2,IFITM1,0.79663720360836,462
952350,CDC73,DRAM2,0.796637354792445,405
12830380,TMEM39B,UBXN7,0.796637451031007,337
2019120,PALLD,NKG7,0.79663802813449,234
12830381,ENSA,UBXN7,0.796638187636124,309
12908507,FMOD,MED7,0.796638572588164,268
4595045,BTBD6,IFITM1,0.796638958156226,419
4595046,SMC6,IFITM1,0.796639049814723,407
12830382,UGCG,UBXN7,0.796639113131357,360
10943916,ZNF513,CKS2,0.796639841370322,407
12830383,RAD51C,UBXN7,0.796640230517853,332
4595047,C12orf43,IFITM1,0.79664051696133,422
12830384,MLLT11,UBXN7,0.79664092426953,322
17071694,ZNF33A,KEAP1,0.796640967655836,327
4595048,RNF123,IFITM1,0.796641040790576,433
12674349,RAB30,SMAD6,0.79664178721586,294
12908508,LCE6A,MED7,0.796642060998193,307
12830385,CDK5,UBXN7,0.796642191350537,324
16004926,BPTF,RNF216,0.796642523425918,469
17071695,SORBS1,KEAP1,0.796642701393652,316
4595049,ANKRD34A,IFITM1,0.796643232103314,408
2630636,RUNX2,PLA2G5,0.7966432386137,488
10943917,GPRIN1,CKS2,0.796643923023859,406
10943918,ZNF821,CKS2,0.796644038215947,445
952351,DEFB123,DRAM2,0.79664484378697,371
12830386,DALRD3,UBXN7,0.796644927509177,325
4595050,LAMA3,IFITM1,0.796645649286527,418
4595051,CDK9,IFITM1,0.796645848801553,387
12908509,CNTN4,MED7,0.796646881093473,283
12830387,CIDECP,UBXN7,0.796646962098971,363
17071696,NTHL1,KEAP1,0.79664720489028,332
17071697,EMX2OS,KEAP1,0.796647535951081,260
12830388,FBXW2,UBXN7,0.796647672251375,359
12674350,PSMG4,SMAD6,0.796648286364518,400
12830389,DNPEP,UBXN7,0.796648331824928,329
4595052,ATP1A1,IFITM1,0.79664841512762,453
7626468,TPTE,NEU4,0.796648784473928,260
12908510,HDAC5,MED7,0.796648905019715,270
12908511,GHDC,MED7,0.796649244412908,327
12908512,BRF1,MED7,0.796649315189166,300
4595053,CYP2E1,IFITM1,0.796649815251095,466
952352,RBPMS,DRAM2,0.796649940640839,422
17071698,METTL9,KEAP1,0.796650040277275,256
12908513,NR2E1,MED7,0.79665010055226,252
12830390,MEGF8,UBXN7,0.796650294884379,327
12674351,C1orf50,SMAD6,0.796650386658936,322
12674352,SARNP,SMAD6,0.796650584490106,321
12674353,RPS6KA2,SMAD6,0.796650600326107,316
2630637,SPA17,PLA2G5,0.796651150358254,398
12908514,NGB,MED7,0.796651289001866,325
7860667,SLC22A9,PRDX5,0.796651441900305,402
12674354,PSMB6,SMAD6,0.796651721896545,324
17071699,UPF1,KEAP1,0.796652114105693,340
10943919,TOMM40L,CKS2,0.796652183096398,404
17071700,EID1,KEAP1,0.796652411701891,257
4595054,IDS,IFITM1,0.796652759349874,479
17071701,TIMM10,KEAP1,0.796652778268659,282
16004927,RPL31P11,RNF216,0.796652866187025,458
12830391,PGPEP1,UBXN7,0.796652875944102,395
12674355,TUFM,SMAD6,0.796653614591329,328
12908515,HLA_B,MED7,0.796654366143917,274
17071702,LSM3,KEAP1,0.796654440117962,270
12830392,DNAJB6,UBXN7,0.796654797524322,315
12830393,ADSS,UBXN7,0.796654926469953,307
10943920,RTF1,CKS2,0.7966551727458,423
12830394,FBXW11,UBXN7,0.796655453703392,318
17071703,MFSD6L,KEAP1,0.796655531609239,314
2630638,CCDC91,PLA2G5,0.796655537729747,530
12830395,CYP2E1,UBXN7,0.796655643253375,371
7626469,DDI2,NEU4,0.796655795526011,272
4595055,CNNM3,IFITM1,0.796655941938343,439
2019121,UHRF1BP1L,NKG7,0.796656605658545,266
10943921,ZWILCH,CKS2,0.796656916616922,405
12908516,NKG7,MED7,0.79665693554267,337
12908517,LYPD6,MED7,0.796657232562982,299
12908518,SLC1A2,MED7,0.796657388818474,253
7626470,SCYL1,NEU4,0.796657446436578,280
12674356,SYCP2L,SMAD6,0.79665747594635,309
2019122,CES1,NKG7,0.796657905638857,249
4595056,SHANK1,IFITM1,0.796657991899786,396
4595057,TRMT2B,IFITM1,0.79665817674219,495
4595058,POLR1E,IFITM1,0.796658272861357,360
12830396,FAXC,UBXN7,0.796658623548469,332
10943922,LRRC41,CKS2,0.796658926789581,387
7626471,CSNK2A2,NEU4,0.796658972903562,240
12674357,VKORC1,SMAD6,0.796659138927751,392
12908519,FANCC,MED7,0.796659356814005,315
10943923,TDG,CKS2,0.796660092665424,467
4595059,ERC2,IFITM1,0.796660103378268,370
12908520,KRTAP12_2,MED7,0.796660191733053,333
12908521,HCFC2,MED7,0.79666093607251,320
12830397,C19orf73,UBXN7,0.796661290691351,345
12830398,TCTEX1D2,UBXN7,0.79666138219859,308
12830399,RIC3,UBXN7,0.796661704953135,324
17071704,TCHH,KEAP1,0.796662197206153,330
952353,RIT1,DRAM2,0.796662245913463,401
17071705,POLA2,KEAP1,0.796662251017771,322
12908522,ENPP2,MED7,0.796662699193345,294
2019123,GPR19,NKG7,0.796662916947787,248
12674358,LINC00260,SMAD6,0.79666298689081,274
12674359,DIO2,SMAD6,0.796662991836336,304
4595060,SPRED2,IFITM1,0.796663083298174,399
12830400,MCF2L,UBXN7,0.796664377279663,348
10943924,OR2M1P,CKS2,0.796664845125683,436
4595061,SUPV3L1,IFITM1,0.796665464143333,419
12830401,CHRNA7,UBXN7,0.796665494851762,302
12674360,TMEM199,SMAD6,0.796665908552061,351
10943925,C12orf43,CKS2,0.796665969360147,410
17071706,HABP4,KEAP1,0.796666074676381,350
7626472,RSPO2,NEU4,0.796666670683192,251
