risk gene,clearance gene,correlation,t
coeff37,coeff16,0.371803466893797,259
coeff22,coeff28,0.371894160396535,320
coeff7,coeff28,0.371908632190942,272
coeff7,coeff16,0.371912602080467,261
coeff29,coeff12,0.371965807719329,259
coeff37,coeff18,0.371982360455847,291
coeff4,coeff28,0.371982698935185,285
coeff31,coeff16,0.371986579915789,272
coeff33,coeff12,0.372013175313235,248
coeff33,coeff18,0.372028053099062,288
coeff11,coeff28,0.372045616486157,328
coeff29,coeff18,0.372053028646598,401
coeff27,coeff17,0.372057360255651,303
coeff6,coeff18,0.372143794445587,382
coeff21,coeff26,0.372190249881422,415
coeff39,coeff18,0.372209926195653,347
coeff37,coeff28,0.372211231456911,312
coeff14,coeff28,0.372250456489091,311
coeff12,coeff18,0.372271118561198,350
coeff23,coeff18,0.372277898647471,444
coeff26,coeff18,0.372301650539773,378
coeff9,coeff26,0.372306989926981,462
coeff36,coeff18,0.372309386358881,373
coeff20,coeff28,0.372329355895329,323
coeff13,coeff26,0.372331291848857,338
coeff23,coeff26,0.372340667040089,356
coeff21,coeff18,0.3723450213217,354
coeff23,coeff28,0.372356047414801,340
coeff41,coeff28,0.372363500409711,332
coeff40,coeff18,0.372380864379069,372
coeff39,coeff26,0.372387666807154,381
coeff35,coeff28,0.372388050365411,336
coeff26,coeff28,0.372406236789504,374
coeff9,coeff18,0.372409738638459,343
coeff36,coeff28,0.3724867351925,376
coeff22,coeff18,0.372501138946782,445
coeff39,coeff28,0.372505110290601,370
coeff24,coeff28,0.372506791052004,368
coeff31,coeff28,0.372508225315283,386
coeff21,coeff28,0.372523625426972,403
coeff24,coeff26,0.372551202321904,404
coeff27,coeff16,0.37257350533,426
coeff40,coeff28,0.372574138058093,400
coeff14,coeff26,0.372620480448792,432
coeff11,coeff26,0.372624433089334,429
coeff6,coeff26,0.372627206195316,588
coeff30,coeff28,0.372629244920883,412
coeff32,coeff26,0.3726590341091,452
coeff22,coeff26,0.372676945133293,424
coeff12,coeff26,0.372748541202901,456
coeff24,coeff18,0.372757532811241,472
coeff7,coeff18,0.372767713520378,376
coeff32,coeff28,0.372897216353388,398
coeff30,coeff18,0.37290025682098,474
coeff20,coeff16,0.372900494294852,472
coeff31,coeff18,0.37290860692998,450
